Player Name,Biffa001,Biffa2001,Cleophas,Collen,D_A_I_N_A,HttpsSecure,Jessassin,Keralis1,KingDaddyDMAC,Marriland,Mrs_Keralis,Mumbo,MumboJumbo,NameOfSamuel,Pungence,Spumwackles,Tango,TangoCam,Tinfoilchef,Unhost,Xisuma,ZombieCleo,falsesymmetry,hypnotizd,iJevin,joehillssays,monkeyfarm,red3yz,skyzm,sl1pg8r,topmass,truesymmetry,xBCrafted,xisumavoid,zueljin
stat.animalsBred,0,53,1,21,0,0,0,274,484,17,0,61,0,0,75,849,365,0,286,0,1903,1601,310,500,507,0,124,114,1,919,0,0,0,0,0
stat.boatOneCm,0,519799,0,38968,0,0,0,942279,1050130,0,0,0,0,33074,1049,152592,0,0,358464,0,739591,0,0,142654,42578,0,0,0,0,1065873,0,0,0,0,21513
stat.breakItem.256,0,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0
stat.breakItem.257,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,0,0
stat.breakItem.258,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,4,0,0,0,0
stat.breakItem.259,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.273,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.274,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.277,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.278,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
stat.breakItem.279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stat.breakItem.298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
stat.breakItem.302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
stat.breakItem.304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
stat.breakItem.306,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0
stat.breakItem.307,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
stat.breakItem.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
